场景,音色名称,voice_type,语种,支持的情感,上线业务方,试听文本
多情感,北京小爷（多情感）,zh_male_beijingxiaoye_emo_v2_mars_bigtts,中文,生气，惊讶，恐惧，激动，冷漠，中性,,
多情感,柔美女友（多情感）,zh_female_roumeinvyou_emo_v2_mars_bigtts,中文,开心，悲伤，生气，惊讶，恐惧，厌恶，激动，冷漠，中性,,
多情感,阳光青年（多情感）,zh_male_yangguangqingnian_emo_v2_mars_bigtts,中文,开心，悲伤，生气，恐惧，激动，冷漠，中性,,
多情感,魅力女友（多情感）,zh_female_meilinvyou_emo_v2_mars_bigtts,中文,悲伤，恐惧，中性,,
多情感,爽快思思（多情感）,zh_female_shuangkuaisisi_emo_v2_mars_bigtts,中文,开心，悲伤，生气，惊讶，激动，冷漠，中性,,
多情感,甜心小美（多情感）,zh_female_tianxinxiaomei_emo_v2_mars_bigtts,中文,悲伤，恐惧，厌恶，中性,剪映,
多情感,高冷御姐（多情感）,zh_female_gaolengyujie_emo_v2_mars_bigtts,中文,开心，悲伤，生气，惊讶，恐惧，厌恶，激动，冷漠，中性,剪映,
多情感,傲娇霸总（多情感）,zh_male_aojiaobazong_emo_v2_mars_bigtts,中文,中性，开心，愤怒，厌恶,剪映,
多情感,广州德哥（多情感）,zh_male_guangzhoudege_emo_mars_bigtts,中文,生气，恐惧，中性,剪映,
多情感,京腔侃爷（多情感）,zh_male_jingqiangkanye_emo_mars_bigtts,中文,开心，生气，惊讶，厌恶，中性,剪映,
多情感,邻居阿姨（多情感）,zh_female_linjuayi_emo_v2_mars_bigtts,中文,中性，愤怒，冷漠，悲伤，惊讶,剪映,
多情感,优柔公子（多情感）,zh_male_yourougongzi_emo_v2_mars_bigtts,中文,开心，生气，恐惧，厌恶，激动，中性，悲伤,剪映,
多情感,儒雅男友（多情感）,zh_male_ruyayichen_emo_v2_mars_bigtts,中文,开心，悲伤，生气，恐惧，激动，冷漠，中性,剪映,
多情感,俊朗男友（多情感）,zh_male_junlangnanyou_emo_v2_mars_bigtts,中文,开心，悲伤，生气，惊讶，恐惧，中性,剪映,
